"PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","MACRO.OM.AREA.g.m2","MACRO.ASH.AREA.g.m2"
"DRONE","44740","GR","9","COBBLE","14.25",NA,NA
"DRONE","44740","GR","10","COBBLE","22.5",NA,NA
"DRONE","44740","GR","11","COBBLE","23.25",NA,NA
"DRONE","44740","GR","12","COBBLE","21.75",NA,NA
"DRONE","44740","GR","13","COBBLE","34.75",NA,NA
"DRONE","44740","GR","14","COBBLE","20",NA,NA
"DRONE","44740","GR","15","COBBLE","26.25",NA,NA
"DRONE","44740","GR","17","COBBLE","37.5",NA,NA
"DRONE","44740","GR","18","COBBLE","17.5",NA,NA
"DRONE","44740","GR","19","COBBLE","49",NA,NA
"DRONE","44740","GR","20","COBBLE","33.25",NA,NA
"DRONE","44741","DL","1","COBBLE","32",NA,NA
"DRONE","44741","DL","2","COBBLE","22.25",NA,NA
"DRONE","44741","DL","3","COBBLE","26.25",NA,NA
"DRONE","44741","DL","4","COBBLE","18.25",NA,NA
"DRONE","44741","DL","5","COBBLE","42",NA,NA
"DRONE","44741","DL","6","COBBLE","21.5",NA,NA
"DRONE","44741","DL","7","COBBLE","29",NA,NA
"DRONE","44741","DL","8","COBBLE","17.75",NA,NA
"DRONE","44741","DL","9","COBBLE","33",NA,NA
"DRONE","44741","DL","10","COBBLE","25.5",NA,NA
"DRONE","44741","DL","11","COBBLE","27",NA,NA
"DRONE","44741","DL","12","COBBLE","34.25",NA,NA
"DRONE","44741","DL","13","COBBLE","36.25",NA,NA
"DRONE","44741","DL","14","COBBLE","32.25",NA,NA
"DRONE","44741","DL","15","COBBLE","17.25",NA,NA
"DRONE","44741","DL","16","COBBLE","31.25",NA,NA
"DRONE","44741","DL","17","COBBLE","23.75",NA,NA
"DRONE","44741","DL","18","COBBLE","32.25",NA,NA
"DRONE","44741","DL","19","COBBLE","30.75",NA,NA
"DRONE","44741","DL","20","COBBLE","9.5",NA,NA
"DRONE","44741","DL","21","COBBLE","20.25",NA,NA
"LTREB","44397","WS","2","COBBLE","16.5",NA,NA
"LTREB","44397","WS","3","COBBLE","27",NA,NA
"LTREB","44397","WS","4","COBBLE","25.875",NA,NA
"LTREB","44397","DL","1","COBBLE","34.25",NA,NA
"LTREB","44397","DL","2","COBBLE","20.375",NA,NA
"LTREB","44397","DL","3","COBBLE","6.375",NA,NA
"LTREB","44397","DL","4","COBBLE","26.25",NA,NA
"LTREB","44397","DL","5","COBBLE","35.125",NA,NA
"LTREB","44397","GR","1","COBBLE","37.5",NA,NA
"LTREB","44397","GR","2","COBBLE","32.75",NA,NA
"LTREB","44397","GR","3","COBBLE","34.75",NA,NA
"LTREB","44397","GR","4","COBBLE","36",NA,NA
"LTREB","44397","GR","5","COBBLE","33",NA,NA
"LTREB","44397","GC","3","COBBLE","38.25",NA,NA
"LTREB","44397","GC","4","COBBLE","32.5",NA,NA
"LTREB","44397","GC","5","COBBLE","26.25",NA,NA
"LTREB","44397","BG","1","COBBLE","12",NA,NA
"LTREB","44397","BG","2","COBBLE","18.5",NA,NA
"LTREB","44397","BG","3","COBBLE","27.25",NA,NA
"LTREB","44397","BG","4","COBBLE","27.75",NA,NA
"LTREB","44397","BG","5","COBBLE","32.75",NA,NA
"LTREB","44397","BN","1","COBBLE","22.5",NA,NA
"LTREB","44397","BN","2","COBBLE","10.75",NA,NA
"LTREB","44397","BN","3","COBBLE","11.75",NA,NA
"LTREB","44397","BN","4","COBBLE","26",NA,NA
"LTREB","44397","BN","5","COBBLE","33.75",NA,NA
"LTREB","44411","WS","1","COBBLE","14.6875",NA,NA
"LTREB","44411","WS","2","COBBLE","8.6875",NA,NA
"LTREB","44411","WS","3","COBBLE","16.6875",NA,NA
"LTREB","44411","WS","4","COBBLE","11",NA,NA
"LTREB","44411","WS","5","COBBLE","16.125",NA,NA
"LTREB","44411","DL","3","COBBLE","3.6875",NA,NA
"LTREB","44411","DL","4","COBBLE","3.4375",NA,NA
"LTREB","44411","DL","5","COBBLE","8.625",NA,NA
"LTREB","44411","GR","1","COBBLE","15.9375",NA,NA
"LTREB","44411","GR","2","COBBLE","15.25",NA,NA
"LTREB","44411","GR","5","COBBLE","8.625",NA,NA
"LTREB","44411","GC","3","COBBLE","35.375",NA,NA
"LTREB","44411","GC","4","COBBLE","36.375",NA,NA
"LTREB","44411","BG","1","COBBLE","28.375",NA,NA
"LTREB","44411","BG","2","COBBLE","28.375",NA,NA
"LTREB","44411","BG","3","COBBLE","18.5",NA,NA
"LTREB","44411","BG","4","COBBLE","19",NA,NA
"LTREB","44411","BG","5","COBBLE","26",NA,NA
"LTREB","44411","BN","1","COBBLE","24.125",NA,NA
"LTREB","44411","BN","2","COBBLE","26.5",NA,NA
"LTREB","44411","BN","3","COBBLE","33",NA,NA
"LTREB","44411","BN","4","COBBLE","33.5",NA,NA
"LTREB","44411","BN","5","COBBLE","23.5",NA,NA
"LTREB","44033","WS","2","COBBLE","23.5",NA,NA
"LTREB","44033","WS","3","PEBBLE","18",NA,NA
"LTREB","44033","WS","4","PEBBLE","31",NA,NA
"LTREB","44033","WS","5","SAND","17.75",NA,NA
"LTREB","44033","CR","1","COBBLE","24",NA,NA
"LTREB","44033","CR","2","COBBLE","36.75",NA,NA
"LTREB","44033","CR","3","COBBLE","35.25",NA,NA
"LTREB","44033","CR","4","COBBLE","37.25",NA,NA
"LTREB","44033","CR","5","COBBLE","38",NA,NA
"LTREB","44033","GC","1","COBBLE","25.75",NA,NA
"LTREB","44033","GC","2","COBBLE","35.25",NA,NA
"LTREB","44033","GC","3","COBBLE","21.5",NA,NA
"LTREB","44033","GC","4","COBBLE","32.5",NA,NA
"LTREB","44033","GC","5","COBBLE","32.75",NA,NA
"LTREB","44033","BG","1","COBBLE","32.25",NA,NA
"LTREB","44033","BG","2","COBBLE","22.75",NA,NA
"LTREB","44033","BG","3","COBBLE","10",NA,NA
"LTREB","44033","BG","4","COBBLE","28.25",NA,NA
"LTREB","44033","BG","5","COBBLE","38",NA,NA
"LTREB","44047","BG","1","COBBLE","26.5",NA,NA
"LTREB","44047","BG","2","COBBLE","55.75",NA,NA
"LTREB","44047","BG","3","SAND","32.25",NA,NA
"LTREB","44047","BG","4","COBBLE","30.75",NA,NA
"LTREB","44047","BG","5","COBBLE","15.25",NA,NA
"LTREB","44047","CR","1","COBBLE","16.25",NA,NA
"LTREB","44047","CR","2","COBBLE","29.75",NA,NA
"LTREB","44047","CR","3","COBBLE","29",NA,NA
"LTREB","44047","CR","4","COBBLE","35",NA,NA
"LTREB","44047","CR","5","COBBLE","31.5",NA,NA
"LTREB","44047","GC","1","COBBLE","33.375",NA,NA
"LTREB","44047","GC","2","COBBLE","31",NA,NA
"LTREB","44047","GC","3","COBBLE","39",NA,NA
"LTREB","44047","GC","4","COBBLE","36.25",NA,NA
"LTREB","44047","GC","5","COBBLE","33.625",NA,NA
"LTREB","44047","WS","1","SAND","34.75",NA,NA
"LTREB","44047","WS","2","PEBBLE","27.375",NA,NA
"LTREB","44047","WS","3","COBBLE","35",NA,NA
"LTREB","44047","WS","4","PEBBLE","38.875",NA,NA
"LTREB","44047","WS","5","SAND","7.375",NA,NA
"LTREB","44061","BG","1","COBBLE","21.5",NA,NA
"LTREB","44061","BG","2","COBBLE","28.5",NA,NA
"LTREB","44061","BG","3","COBBLE","28.5",NA,NA
"LTREB","44061","BG","4","COBBLE","32.25",NA,NA
"LTREB","44061","BG","5","COBBLE","27",NA,NA
"LTREB","44061","BN","1","COBBLE","10.75",NA,NA
"LTREB","44061","BN","2","COBBLE","34",NA,NA
"LTREB","44061","BN","3","COBBLE","40",NA,NA
"LTREB","44061","BN","4","COBBLE","20",NA,NA
"LTREB","44061","BN","5","COBBLE","33.75",NA,NA
"LTREB","44061","CR","1","COBBLE","11",NA,NA
"LTREB","44061","CR","2","COBBLE","25.25",NA,NA
"LTREB","44061","CR","3","COBBLE","27.75",NA,NA
"LTREB","44061","CR","4","COBBLE","32",NA,NA
"LTREB","44061","CR","5","COBBLE","26.25",NA,NA
"LTREB","44061","GC","1","COBBLE","22.25",NA,NA
"LTREB","44061","GC","2","COBBLE","30",NA,NA
"LTREB","44061","GC","3","COBBLE","18.25",NA,NA
"LTREB","44061","GC","4","COBBLE","25.25",NA,NA
