"PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","MACRO.OM.AREA.g.m2","MACRO.ASH.AREA.g.m2"
"RASS","44039","GR","3","COBBLE","30.25",NA,NA
"RASS","44039","GR","4","COBBLE","30.625",NA,NA
"RASS","44039","GR","5","COBBLE","24.875",NA,NA
"RASS","44046","DL","1","PEBBLE","31.125",NA,NA
"RASS","44046","DL","2","PEBBLE","22.75",NA,NA
"RASS","44046","DL","3","PEBBLE","28.5",NA,NA
"RASS","44046","DL","4","PEBBLE","31.375",NA,NA
"RASS","44046","DL","5","PEBBLE","30.625",NA,NA
"RASS","44046","GR","1","COBBLE","24.875",NA,NA
"RASS","44046","GR","2","COBBLE","31.75",NA,NA
"RASS","44046","GR","3","COBBLE","29.125",NA,NA
"RASS","44046","GR","4","COBBLE","30.25",NA,NA
"RASS","44046","GR","5","COBBLE","31.25",NA,NA
"RASS","44053","DL","1","PEBBLE","22.75",NA,NA
"RASS","44053","DL","2","PEBBLE","25.375",NA,NA
"RASS","44053","DL","3","PEBBLE","19.875",NA,NA
"RASS","44053","DL","4","PEBBLE","19.875",NA,NA
"RASS","44053","DL","5","PEBBLE","24.25",NA,NA
"RASS","44053","GR","1","COBBLE","22.875",NA,NA
"RASS","44053","GR","2","COBBLE","24.5",NA,NA
"RASS","44053","GR","3","COBBLE","35.5",NA,NA
"RASS","44053","GR","4","COBBLE","29.875",NA,NA
"RASS","44053","GR","5","COBBLE","32.5",NA,NA
"RASS","44060","DL","1","PEBBLE","17.5",NA,NA
"RASS","44060","DL","2","PEBBLE","18.625",NA,NA
"RASS","44060","DL","3","PEBBLE","19.5",NA,NA
"RASS","44060","DL","4","PEBBLE","23.5",NA,NA
"RASS","44060","DL","5","PEBBLE","23.75",NA,NA
"RASS","44060","GR","1","COBBLE","26",NA,NA
"RASS","44060","GR","3","COBBLE","35.75",NA,NA
"RASS","44060","GR","4","COBBLE","28.75",NA,NA
"RASS","44060","GR","5","COBBLE","22.125",NA,NA
"RASS","44067","DL","1","PEBBLE","21",NA,NA
"RASS","44067","DL","2","PEBBLE","21.875",NA,NA
"RASS","44067","DL","3","PEBBLE","23",NA,NA
"RASS","44067","DL","4","PEBBLE","30.25",NA,NA
"RASS","44067","DL","5","PEBBLE","28.125",NA,NA
"RASS","44067","GR","1","COBBLE","26.875",NA,NA
"RASS","44067","GR","2","COBBLE","29.75",NA,NA
"RASS","44067","GR","3","COBBLE","25.25",NA,NA
"RASS","44067","GR","4","COBBLE","32",NA,NA
"RASS","44067","GR","5","COBBLE","27.25",NA,NA
"RASS","44088","DL","1","PEBBLE","24.875",NA,NA
"RASS","44088","DL","2","PEBBLE","21.25",NA,NA
"RASS","44088","DL","3","PEBBLE","27.25",NA,NA
"RASS","44088","DL","4","PEBBLE","24.875",NA,NA
"RASS","44088","DL","5","PEBBLE","24",NA,NA
"RASS","44088","GR","1","COBBLE","26",NA,NA
"RASS","44088","GR","2","COBBLE","20",NA,NA
"RASS","44088","GR","3","COBBLE","25.5",NA,NA
"RASS","44088","GR","4","COBBLE","32.125",NA,NA
"RASS","44088","GR","5","COBBLE","29.125",NA,NA
"RASS","44095","DL","1","PEBBLE","31.5",NA,NA
"RASS","44095","DL","2","PEBBLE","22.625",NA,NA
"RASS","44095","DL","3","PEBBLE","19.5",NA,NA
"RASS","44095","DL","4","PEBBLE","24.875",NA,NA
"RASS","44095","DL","5","PEBBLE","22.25",NA,NA
"RASS","44095","GR","1","COBBLE","31.75",NA,NA
"RASS","44095","GR","2","COBBLE","28.875",NA,NA
"RASS","44095","GR","3","COBBLE","34",NA,NA
"RASS","44095","GR","4","COBBLE","29.25",NA,NA
"RASS","44095","GR","5","COBBLE","34.625",NA,NA
"RASS","44102","DL","1","PEBBLE","23.25",NA,NA
"RASS","44102","DL","2","PEBBLE","22.875",NA,NA
"RASS","44102","DL","3","PEBBLE","26.5",NA,NA
"RASS","44102","DL","4","PEBBLE","29.75",NA,NA
"RASS","44102","DL","5","PEBBLE","26.125",NA,NA
"RASS","44102","GR","1","COBBLE","27.25",NA,NA
"RASS","44102","GR","2","COBBLE","28.625",NA,NA
"RASS","44102","GR","3","COBBLE","32.875",NA,NA
"RASS","44102","GR","4","COBBLE","29.25",NA,NA
"RASS","44102","GR","5","COBBLE","30",NA,NA
"RASS","44109","DL","1","PEBBLE","26.25",NA,NA
"RASS","44109","DL","2","PEBBLE","26.875",NA,NA
"RASS","44109","DL","3","PEBBLE","27.875",NA,NA
"RASS","44109","DL","4","PEBBLE","25",NA,NA
"RASS","44109","DL","5","PEBBLE","25.75",NA,NA
"RASS","44109","GR","1","COBBLE","20.375",NA,NA
"RASS","44109","GR","2","COBBLE","18.125",NA,NA
"RASS","44109","GR","3","COBBLE","21.375",NA,NA
"RASS","44109","GR","4","COBBLE","27.625",NA,NA
"RASS","44109","GR","5","COBBLE","28.125",NA,NA
"RASS","44116","DL","1","PEBBLE","29",NA,NA
"RASS","44116","DL","2","PEBBLE","29",NA,NA
"RASS","44116","DL","3","PEBBLE","29",NA,NA
"RASS","44116","DL","4","PEBBLE","29",NA,NA
"RASS","44116","DL","5","PEBBLE","29",NA,NA
"RASS","44123","DL","1","PEBBLE","31.875",NA,NA
"RASS","44123","DL","2","PEBBLE","32.25",NA,NA
"RASS","44123","DL","3","PEBBLE","35.25",NA,NA
"RASS","44123","DL","4","PEBBLE","35.25",NA,NA
"RASS","44123","DL","5","PEBBLE","24.625",NA,NA
"RASS","44123","GR","1","COBBLE","24.75",NA,NA
"RASS","44123","GR","2","COBBLE","32.375",NA,NA
"RASS","44123","GR","3","COBBLE","24.625",NA,NA
"RASS","44123","GR","4","COBBLE","21.125",NA,NA
"RASS","44123","GR","5","COBBLE","17.375",NA,NA
