"PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","CPOM.OM.AREA.g.m2","CPOM.ASH.AREA.g.m2"
"DRONE","44754","GR","12","COBBLE","26.75",NA,NA
"DRONE","44754","GR","13","COBBLE","33.75",NA,NA
"DRONE","44754","GR","14","COBBLE","39.5",NA,NA
"DRONE","44754","GR","15","COBBLE","17.75",NA,NA
"DRONE","44754","GR","16","COBBLE","31.5",NA,NA
"DRONE","44754","GR","17","COBBLE","38.75",NA,NA
"DRONE","44754","GR","18","COBBLE","53",NA,NA
"DRONE","44754","GR","19","COBBLE","58",NA,NA
"DRONE","44754","GR","20","COBBLE","47",NA,NA
"DRONE","44754","GR","21","COBBLE","68",NA,NA
"DRONE","44755","GC","1","COBBLE","56",NA,NA
"DRONE","44755","GC","2","COBBLE","60",NA,NA
"DRONE","44755","GC","3","COBBLE","62",NA,NA
"DRONE","44755","GC","4","COBBLE","61",NA,NA
"DRONE","44755","GC","5","COBBLE","63",NA,NA
"DRONE","44755","GC","6","COBBLE","39",NA,NA
"DRONE","44755","GC","7","COBBLE","57",NA,NA
"DRONE","44755","GC","8","COBBLE","57",NA,NA
"DRONE","44755","GC","9","COBBLE","47",NA,NA
"DRONE","44755","GC","10","COBBLE","54",NA,NA
"DRONE","44755","GC","11","COBBLE","53",NA,NA
"DRONE","44755","GC","12","COBBLE","45",NA,NA
"DRONE","44755","GC","13","COBBLE","42",NA,NA
"DRONE","44755","GC","14","COBBLE","51",NA,NA
"DRONE","44755","GC","15","COBBLE","35",NA,NA
"DRONE","44755","GC","16","COBBLE","43",NA,NA
"DRONE","44755","GC","17","COBBLE","54",NA,NA
"DRONE","44755","GC","18","COBBLE","39",NA,NA
"DRONE","44755","GC","19","COBBLE","49",NA,NA
"DRONE","44755","GC","20","COBBLE","40",NA,NA
"DRONE","44755","GC","21","COBBLE","37",NA,NA
